left,right,seed,left_seat,left_money,right_money,margin,result,done,left_status,right_status,left_calls,right_calls,errors,invalid,p50_ms,p95_ms,p99_ms,max_ms
V22,V13_R3,17,0,129209.0,119771.0,9438.0,W,1,DONE,DONE,719,719,0,0,0.010666000889614224,0.016223253624048032,0.04753917834023008,0.20941600087098777
V22,V13_R3,17,1,129209.0,119771.0,9438.0,W,1,DONE,DONE,719,719,0,0,0.010624993592500687,0.016352751117665303,0.04676129203289746,0.22175000049173832
V22,V13_R3,42,0,133825.0,123878.0,9947.0,W,1,DONE,DONE,719,719,0,0,0.01058299676515162,0.016518734628334624,0.04521891765762119,0.2668340166565031
V22,V13_R3,42,1,133825.0,123878.0,9947.0,W,1,DONE,DONE,719,719,0,0,0.01058299676515162,0.016185604908969236,0.04785173950949676,0.2919999824371189
V22,V13_R3,2026,0,108183.0,97242.0,10941.0,W,1,DONE,DONE,719,719,0,0,0.01054200401995331,0.016923283692449324,0.04621892527211456,0.36604100023396313
V22,V13_R3,2026,1,108569.0,97001.0,11568.0,W,1,DONE,DONE,719,719,0,0,0.010583986295387149,0.015833007637411356,0.04621466097887603,0.26541599072515965
Adaptive_V14,V27,17,0,83859.0,42857.0,41002.0,W,1,DONE,DONE,719,719,0,0,0.010209012543782592,0.014548141916748131,0.04242725233780156,0.18745797569863498
Adaptive_V14,V27,17,1,83058.0,42110.0,40948.0,W,1,DONE,DONE,719,719,0,0,0.010124989785254002,0.013631311594508583,0.03716252103913561,0.058833014918491244
Adaptive_V14,V27,42,0,79929.0,40820.0,39109.0,W,1,DONE,DONE,719,719,0,0,0.010082992957904935,0.01462499494664371,0.021420348493847784,0.2410000015515834
Adaptive_V14,V27,42,1,81316.0,45077.0,36239.0,W,1,DONE,DONE,719,719,0,0,0.010167015716433525,0.014374993043020368,0.02280032989801806,0.08104200242087245
Adaptive_V14,V27,2026,0,81865.0,42829.0,39036.0,W,1,DONE,DONE,719,719,0,0,0.010104500688612461,0.013965133985038842,0.03262218466261396,0.07487498805858195
Adaptive_V14,V27,2026,1,81874.0,42490.0,39384.0,W,1,DONE,DONE,719,719,0,0,0.010207993909716606,0.014298164751380677,0.019551253353711114,0.04704200546257198
Adaptive_V14,Stable12,17,0,61515.0,156788.0,-95273.0,L,1,DONE,DONE,719,719,0,0,0.010749994544312358,0.015858898404985642,0.04703249054728073,0.3740419924724847
Adaptive_V14,Stable12,17,1,62005.0,147531.0,-85526.0,L,1,DONE,DONE,719,719,0,0,0.010770498192869127,0.014965166337788098,0.039332317537628024,0.2929579932242632
Adaptive_V14,Stable12,42,0,67186.0,166905.0,-99719.0,L,1,DONE,DONE,719,719,0,0,0.010749994544312358,0.01496514159953221,0.03650191269116311,0.39950001519173384
