actual_margin_delta,control_margin,done,due,event_index,item,mode,opponent,opponent_cash_delta,own_cash_delta,raw_gain,seat,seed,single_event_margin,source_hash,step,transfer
1057.0,20615.0,1,240,0,WOOL,delay,frontier_current,-9176.0,-8119.0,54.0,0,2026,21672.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,4
0.0,20615.0,1,381,1,WOOL,delay,frontier_current,0.0,0.0,22.0,0,2026,20615.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,312,3
39.0,20615.0,1,408,2,STRAWBERRY,delay,frontier_current,9.0,48.0,129.0,0,2026,20654.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,384,7
934.0,18938.0,1,240,0,WOOL,delay,frontier_current,-8421.0,-7487.0,54.0,1,2026,19872.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,4
0.0,18938.0,1,381,1,WOOL,delay,frontier_current,0.0,0.0,22.0,1,2026,18938.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,312,3
0.0,18938.0,1,432,2,STRAWBERRY,delay,frontier_current,0.0,0.0,44.0,1,2026,18938.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,408,1
-3170.0,8865.0,1,240,0,WOOL,delay,frontier_current,21649.0,18479.0,107.0,0,217,5695.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
26.0,8865.0,1,384,1,STRAWBERRY,delay,frontier_current,0.0,26.0,11.0,0,217,8891.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,336,3
-101.0,8865.0,1,408,2,STRAWBERRY,delay,frontier_current,64.0,-37.0,330.0,0,217,8764.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,384,9
-3217.0,8879.0,1,240,0,WOOL,delay,frontier_current,21687.0,18470.0,107.0,1,217,5662.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
26.0,8879.0,1,384,1,STRAWBERRY,delay,frontier_current,0.0,26.0,11.0,1,217,8905.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,336,3
-101.0,8879.0,1,408,2,STRAWBERRY,delay,frontier_current,64.0,-37.0,330.0,1,217,8778.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,384,9
-4087.0,14399.0,1,240,0,WOOL,delay,frontier_current,-556.0,-4643.0,103.0,0,317,10312.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
62.0,14399.0,1,377,1,MILK,delay,frontier_current,0.0,62.0,62.0,0,317,14461.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,360,5
17.0,14399.0,1,408,2,STRAWBERRY,delay,frontier_current,14.0,31.0,256.0,0,317,14416.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,384,7
-4144.0,14497.0,1,240,0,WOOL,delay,frontier_current,-501.0,-4645.0,103.0,1,317,10353.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
62.0,14497.0,1,377,1,MILK,delay,frontier_current,0.0,62.0,62.0,1,317,14559.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,360,5
