phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
calibration,macro_072_13_8_6_34_10_9,v012,2,79777.5,75274.0,84281.0,-80294.5,0,0,2,0.0,1,0,0,5.20375,11.473083,12.02575608400366
calibration,macro_073_13_8_6_34_10_9,baseline,2,83534.5,75620.0,91449.0,-32355.5,0,0,2,0.0,1,0,0,4.569375,6.379125,13.206580874997599
calibration,macro_073_13_8_6_34_10_9,v012,2,86744.5,81365.0,92124.0,-79583.0,0,0,2,0.0,1,0,0,4.7805,7.608167,11.964665750005224
calibration,macro_074_13_8_6_30_10_9,baseline,2,76594.0,75374.0,77814.0,-42845.5,0,0,2,0.0,1,0,0,4.991084,7.388167,12.985339040998952
calibration,macro_074_13_8_6_30_10_9,v012,2,77896.5,76481.0,79312.0,-95258.0,0,0,2,0.0,1,0,0,5.068125,8.040792,11.745052750004106
calibration,macro_075_13_8_6_34_12_9,baseline,2,86110.0,82981.0,89239.0,-33716.5,0,0,2,0.0,1,0,0,5.081666,7.140417,13.217470166993735
calibration,macro_075_13_8_6_34_12_9,v012,2,91591.0,87892.0,95290.0,-68966.5,0,0,2,0.0,1,0,0,4.912042,6.380542,11.683303500001784
calibration,macro_076_13_8_6_34_8_7,baseline,2,82759.0,76330.0,89188.0,-37543.0,0,0,2,0.0,1,0,0,5.296958,8.094083,13.397553458002221
calibration,macro_076_13_8_6_34_8_7,v012,2,77443.0,70958.0,83928.0,-82925.0,0,0,2,0.0,1,0,0,4.62425,9.817458,11.921071791999566
calibration,macro_077_13_8_6_30_10_7,baseline,2,93614.5,86338.0,100891.0,-30469.5,0,0,2,0.0,1,0,0,4.893417,6.31225,13.173130790994037
calibration,macro_077_13_8_6_30_10_7,v012,2,76404.5,60589.0,92220.0,-88337.0,0,0,2,0.0,1,0,0,4.807541,101.873333,11.931667333003134
calibration,macro_078_13_10_6_28_10_9,baseline,2,89745.5,88240.0,91251.0,-29900.0,0,0,2,0.0,1,0,0,5.384416,8.336458,14.068493958991894
calibration,macro_078_13_10_6_28_10_9,v012,2,86569.5,83251.0,89888.0,-75109.0,0,0,2,0.0,1,0,0,4.925,6.758791,12.193016083998373
calibration,macro_079_13_8_6_34_10_9,baseline,2,81853.0,77487.0,86219.0,-29784.0,0,0,2,0.0,1,0,0,5.216208,7.414917,14.10175970900309
calibration,macro_079_13_8_6_34_10_9,v012,2,78532.0,75638.0,81426.0,-90139.5,0,0,2,0.0,1,0,0,5.075166,7.841375,13.084071457997197
calibration,macro_080_11_8_6_34_12_9,baseline,2,84799.5,81374.0,88225.0,-39904.5,0,0,2,0.0,1,0,0,3.810541,4.377959,13.036241959001927
calibration,macro_080_11_8_6_34_12_9,v012,2,91336.5,89162.0,93511.0,-81791.0,0,0,2,0.0,1,0,0,3.703792,4.937458,11.905483082999126
calibration,macro_081_13_8_6_34_12_9,baseline,2,83110.5,83017.0,83204.0,-34601.0,0,0,2,0.0,1,0,0,4.802167,146.653917,13.890000166000391
calibration,macro_081_13_8_6_34_12_9,v012,2,69751.5,58397.0,81106.0,-86472.0,0,0,2,0.0,1,0,0,4.90875,6.726708,12.320027043002483
calibration,macro_082_13_8_6_30_10_9,baseline,2,80740.0,77306.0,84174.0,-36600.0,0,0,2,0.0,1,0,0,5.126875,126.584042,14.469671792001463
calibration,macro_082_13_8_6_30_10_9,v012,2,87764.5,83828.0,91701.0,-85644.5,0,0,2,0.0,1,0,0,5.458625,7.387333,12.952940334005689
